epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3
0,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949999988079071, 0.8999999761581421, 0.699999988079071, 0.44999998807907104]",0.949999988079071,0.9000000357627869,0.7000000476837158,0.4500000178813934,0.0,0.0,0.0,0.0,0.949999988079071,0.8999999761581421,0.699999988079071,0.449999988079071
0,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949522852897644, 0.8990963697433472, 0.6978958249092102, 0.4524761736392975]",0.949522852897644,0.8990963101387024,0.6978958249092102,0.4524761438369751,0.0,0.0,0.0,0.0,0.949522852897644,0.8990963697433472,0.6978958249092102,0.4524761736392975
0,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949522852897644, 0.8990963697433472, 0.6978958249092102, 0.4524761736392975]",0.949522852897644,0.8990963101387024,0.6978958249092102,0.4524761438369751,0.0,0.0,0.0,0.0,0.949522852897644,0.8990963697433472,0.6978958249092102,0.4524761736392975
50,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9620627760887146, 0.892130434513092, 0.6362327933311462, 0.45675548911094666]",0.9620625972747804,0.8921303749084473,0.6362327933311462,0.4567553997039795,0.0,0.0,0.0,0.0,0.9620627760887146,0.892130434513092,0.6362327933311462,0.4567554891109466
50,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9623273015022278, 0.891372799873352, 0.6348938941955566, 0.45692408084869385]",0.962327241897583,0.8913727402687073,0.6348938941955566,0.4569240510463714,0.0,0.0,0.0,0.0,0.9623273015022278,0.891372799873352,0.6348938941955566,0.4569240808486938
50,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9623273015022278, 0.891372799873352, 0.6348938941955566, 0.45692408084869385]",0.962327241897583,0.8913727402687073,0.6348938941955566,0.4569240510463714,0.0,0.0,0.0,0.0,0.9623273015022278,0.891372799873352,0.6348938941955566,0.4569240808486938
100,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9701271653175354, 0.835854709148407, 0.5717694759368896, 0.463224321603775]",0.9701271653175354,0.8358546495437622,0.5717694759368896,0.463224321603775,0.0,0.0,0.0,0.0,0.9701271653175354,0.835854709148407,0.5717694759368896,0.463224321603775
100,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9702095985412598, 0.8346307873725891, 0.5708451867103577, 0.46382176876068115]",0.9702095985412598,0.8346307873725891,0.5708451867103577,0.4638217389583587,0.0,0.0,0.0,0.0,0.9702095985412598,0.8346307873725891,0.5708451867103577,0.4638217687606811
100,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9702095985412598, 0.8346307873725891, 0.5708451867103577, 0.46382176876068115]",0.9702095985412598,0.8346307873725891,0.5708451867103577,0.4638217389583587,0.0,0.0,0.0,0.0,0.9702095985412598,0.8346307873725891,0.5708451867103577,0.4638217687606811
150,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9721750617027283, 0.7672604918479919, 0.5307924747467041, 0.4757353961467743]",0.9721750020980836,0.7672604918479919,0.5307924747467041,0.4757353663444519,0.0,0.0,0.0,0.0,0.9721750617027284,0.7672604918479919,0.5307924747467041,0.4757353961467743
